FileName,Molecule,MinStartTime,MaxEndTime
C30_QC_00.d,AC(10:0),1.2600,1.6100
C30_QC_01.d,AC(10:0),1.2300,1.6100
C30_QC_02.d,AC(10:0),1.2200,1.5400
C30_QC_00.d,AC(12:0),1.6200,1.9700
C30_QC_01.d,AC(12:0),1.5900,2.0000
C30_QC_02.d,AC(12:0),1.5600,1.9000
C30_QC_00.d,AC(12:1),1.4000,1.8000
C30_QC_01.d,AC(12:1),1.3700,1.8100
C30_QC_02.d,AC(12:1),1.3700,1.7200
C30_QC_00.d,AC(13:0),1.8200,2.2000
C30_QC_01.d,AC(13:0),1.7900,2.2000
C30_QC_02.d,AC(13:0),1.7600,2.1100
C30_QC_00.d,AC(14:0),2.3300,2.7500
C30_QC_01.d,AC(14:0),2.2000,2.6600
C30_QC_02.d,AC(14:0),2.2800,2.7000
C30_QC_00.d,AC(14:0)-OH,1.6800,1.9900
C30_QC_01.d,AC(14:0)-OH,1.6700,1.9200
C30_QC_02.d,AC(14:0)-OH,1.5800,2.0700
C30_QC_00.d,AC(14:1),1.8400,2.3300
C30_QC_01.d,AC(14:1),1.7900,2.2800
C30_QC_02.d,AC(14:1),1.8100,2.2400
C30_QC_00.d,AC(14:1)-OH,1.4600,1.7300
C30_QC_01.d,AC(14:1)-OH,1.1900,1.8100
C30_QC_02.d,AC(14:1)-OH,1.4800,1.6800
C30_QC_00.d,AC(14:2),1.5500,1.9700
C30_QC_01.d,AC(14:2),1.5300,1.8900
C30_QC_02.d,AC(14:2),1.5000,1.8900
C30_QC_00.d,AC(15:0),1.4600,1.7300
C30_QC_01.d,AC(15:0),1.1900,1.8100
C30_QC_02.d,AC(15:0),1.4800,1.6800
C30_QC_00.d,AC(16:0),3.7800,4.4300
C30_QC_01.d,AC(16:0),3.6400,4.2400
C30_QC_02.d,AC(16:0),3.6300,4.2800
C30_QC_00.d,AC(16:0)-OH,2.4400,2.8100
C30_QC_01.d,AC(16:0)-OH,2.3800,2.8600
C30_QC_02.d,AC(16:0)-OH,2.3200,2.6400
C30_QC_00.d,AC(16:1),2.5600,3.2000
C30_QC_01.d,AC(16:1),2.5200,3.0700
C30_QC_02.d,AC(16:1),2.4800,3.0200
C30_QC_00.d,AC(16:1)-OH,1.8700,2.2300
C30_QC_01.d,AC(16:1)-OH,1.9300,2.1300
C30_QC_02.d,AC(16:1)-OH,1.9500,2.2300
C30_QC_00.d,AC(17:0),1.9000,2.2900
C30_QC_01.d,AC(17:0),1.9000,2.1700
C30_QC_02.d,AC(17:0),1.8100,2.2800
C30_QC_00.d,AC(18:0),5.9200,6.7300
C30_QC_01.d,AC(18:0),5.7400,6.3900
C30_QC_02.d,AC(18:0),5.7200,6.2700
C30_QC_00.d,AC(18:0)-OH,4.0100,4.6100
C30_QC_01.d,AC(18:0)-OH,3.7900,4.3600
C30_QC_02.d,AC(18:0)-OH,3.7700,4.3900
C30_QC_00.d,AC(18:1),4.0900,4.9200
C30_QC_01.d,AC(18:1),3.9400,4.7700
C30_QC_02.d,AC(18:1),3.9300,4.7100
C30_QC_00.d,AC(18:1)-OH,2.7400,3.1900
C30_QC_01.d,AC(18:1)-OH,2.6600,3.1300
C30_QC_02.d,AC(18:1)-OH,2.6200,3.0900
C30_QC_00.d,AC(18:2),2.9100,3.5700
C30_QC_01.d,AC(18:2),2.8200,3.3800
C30_QC_02.d,AC(18:2),2.8100,3.3900
C30_QC_00.d,AC(18:3),2.2200,2.9500
C30_QC_01.d,AC(18:3),2.1900,2.8100
C30_QC_02.d,AC(18:3),2.2400,2.5800
C30_QC_00.d,AC(20:3),3.4100,3.9300
C30_QC_01.d,AC(20:3),3.2700,3.6700
C30_QC_02.d,AC(20:3),3.2300,3.7000
C30_QC_00.d,AC(20:3)-OH,2.4200,2.8000
C30_QC_01.d,AC(20:3)-OH,2.3800,2.8000
C30_QC_02.d,AC(20:3)-OH,2.2900,2.7800
C30_QC_00.d,AC(20:4),2.8200,3.2000
C30_QC_01.d,AC(20:4),2.6800,3.1000
C30_QC_02.d,AC(20:4),2.7300,3.1700
C30_QC_00.d,AC(20:5),2.2100,2.5600
C30_QC_01.d,AC(20:5),2.1400,2.4900
C30_QC_02.d,AC(20:5),2.1300,2.4400
C30_QC_00.d,AC(22:5),3.0200,3.3500
C30_QC_01.d,AC(22:5),2.9700,3.2800
C30_QC_02.d,AC(22:5),3.2800,3.8100
C30_QC_00.d,AC(22:5)-OH,2.2500,2.5600
C30_QC_01.d,AC(22:5)-OH,2.2000,2.5000
C30_QC_02.d,AC(22:5)-OH,2.1100,2.5200
C30_QC_00.d,AC(22:6),2.5900,3.1700
C30_QC_01.d,AC(22:6),2.6800,2.9300
C30_QC_02.d,AC(22:6),2.5500,2.8200
C30_QC_00.d,AC(24:0),10.6600,11.4300
C30_QC_01.d,AC(24:0),10.5500,11.3900
C30_QC_02.d,AC(24:0),10.5400,11.3000
C30_QC_00.d,AC(24:1),9.3200,10.0000
C30_QC_01.d,AC(24:1),9.2400,9.9400
C30_QC_02.d,AC(24:1),9.2300,9.6900
C30_QC_00.d,AC(26:0),11.6200,12.3100
C30_QC_01.d,AC(26:0),11.5500,12.2700
C30_QC_02.d,AC(26:0),11.5400,12.2600
C30_QC_00.d,AC(26:1),10.5000,11.3000
C30_QC_01.d,AC(26:1),10.4100,11.1200
C30_QC_02.d,AC(26:1),10.4000,11.1600
C30_QC_00.d,CA,1.7200,1.8600
C30_QC_01.d,CA,0.8200,1.1500
C30_QC_02.d,CA,1.8600,2.0100
C30_QC_00.d,dxCA,2.4800,2.6400
C30_QC_01.d,dxCA,1.2800,1.9200
C30_QC_02.d,dxCA,2.2600,2.4100
C30_QC_00.d,GM3(d18:1/16:0),10.0700,10.2500
C30_QC_01.d,GM3(d18:1/16:0),10.0000,10.1800
C30_QC_02.d,GM3(d18:1/16:0),9.9900,10.1600
C30_QC_00.d,GM3(d18:1/18:0),10.7500,10.9300
